Title;AuthorID;PushIsherID;Pages;Dimension;Translator;Overview;InventoryQuantity;SalePrice;PublishedDate;isHidden
The New Oxford Shakespeare: Critical Reference Edition - The Complete Works (2017);William Shakespeare;Oxford University Press;0;22.52x16.44x2.17 cm;;"The New Oxford Shakespeare is a landmark print and online project, which for the first time provides fully edited and annotated texts of all extant versions of all Shakespeare's works, including collaborations, revisions, and adaptations. Based on a fresh examination of the surviving original documents, it draws upon the latest interdisciplinary scholarship, supplemented by new research undertaken by a diverse international team. Although closely connected and systematically cross-referenced, each part can be used independently of the others. The New Oxford Shakespeare: The Complete Works: Critical Reference Edition collects the same versions of the same works found in the Modern Critical Edition, keyed to the same line-numbering. But the Critical Reference Edition emphasizes book history and the documentary origins of each text. It preserves the spelling, punctuation, capitalization, abbreviations, typographical contrasts, ambiguities, and inconsistencies of the early documents. Introductions focus on early modern manuscript and print culture, setting each text within the material circumstances of its production, transmission, and early reception. The works are arranged in the chronological order of the surviving texts: the first volume covers documents manufactured in Shakespeare's lifetime, and the second covers documents made between 1622 and 1728. The illustrated general introduction presents an overview of the texts available to editors and describes how they define Shakespeare. An essay on error surveys kinds of error characteristic of these early text technologies. It is followed by a general introduction to the music of Shakespeare's plays. Introductions to individual works and an extensive foot-of-the-page textual apparatus record and discuss editorial corrections of scribal and printing errors in the early documents; marginal notes record press variants and key variants in different documents. Original music notation is provided for the songs (where available). Because the plays were written and copied within the framework of theatrical requirements, casting charts identify the length and type of each role, discuss potential doubling possibilities, and note essential props. The New Oxford Shakespeare consists of four interconnected publications: the Modern Critical Edition (with modern spelling), the Critical Reference Edition (with original spelling), a companion volume on Authorship, and an online version integrating all of this material on OUP's high-powered scholarly editions platform. Together, they provide the perfect resource for the future of Shakespeare studies.";35;7.84;1930-03-17;false
Blue Period 13 (2023);Tsubasa Yamaguchi;Kodansha America LLC;210;22.80x14.23x1.60 cm;Ajani A. Oloye ;Thanks to the influence of the guru-like leader of NO MARKs, Yatora is ready to return to TUA with a fresh perspective and renewed love for art-until a series of jarring events makes Yatora question his recent choices. But as he considers what is right or wrong in his pursuit of art, he finds the inspiration to take a bold new approach to his assignment on “guilt.”;13;7.41;1930-05-23;false
Of Mice and Men (2021);John Steinbeck;Good Press;91;24.44x13.10x2.47 cm;;"""Of Mice and Men"" by John Steinbeck. Published by Good Press. Good Press publishes a wide range of titles that encompasses every genre. From well-known classics & literary fiction and non-fiction to forgotten−or yet undiscovered gems−of world literature, we issue the books that need to be read. Each Good Press edition has been meticulously edited and formatted to boost readability for all e-readers and devices. Our goal is to produce eBooks that are user-friendly and accessible to everyone in a high-quality digital format.";49;7.23;1930-08-21;false
To Kill a Mockingbird: A Graphic Novel - A Graphic Novel (2018);Harper Lee;HarperCollins;288;22.89x13.61x2.10 cm;;"“This gorgeously rendered graphic-novel version provides a new perspective for old fans but also acts as an immersive introduction for youngsters as well as any adult who somehow missed out on the iconic story set in Maycomb, Alabama.”--USA Today A beautifully crafted graphic novel adaptation of Harper Lee’s beloved, Pulitzer Prize–winning American classic, voted America's best-loved novel in PBS's Great American Read. ""Shoot all the bluejays you want, if you can hit ‘em, but remember it’s a sin to kill a mockingbird."" A haunting portrait of race and class, innocence and injustice, hypocrisy and heroism, tradition and transformation in the Deep South of the 1930s, Harper Lee’s To Kill a Mockingbird remains as important today as it was upon its initial publication in 1960, during the turbulent years of the Civil Rights movement. Now, this most beloved and acclaimed novel is reborn for a new age as a gorgeous graphic novel. Scout, Jem, Boo Radley, Atticus Finch, and the small town of Maycomb, Alabama, are all captured in vivid and moving illustrations by artist Fred Fordham. Enduring in vision, Harper Lee’s timeless novel illuminates the complexities of human nature and the depths of the human heart with humor, unwavering honesty, and a tender, nostalgic beauty. Lifetime admirers and new readers alike will be touched by this special visual edition that joins the ranks of the graphic novel adaptations of A Wrinkle in Time and The Alchemist.";50;6.02;1930-10-18;false
To Kill a Mockingbird: A Graphic Novel (2018);Harper Lee;HarperCollins;0;22.06x15.90x1.59 cm;;"A beautifully crafted graphic novel adaptation of Harper Lee’s beloved, Pulitzer prize–winning American classic. ""Shoot all the bluejays you want, if you can hit ‘em, but remember it’s a sin to kill a mockingbird."" A haunting portrait of race and class, innocence and injustice, hypocrisy and heroism, tradition and transformation in the Deep South of the 1930s, Harper Lee’s To Kill a Mockingbird remains as important today as it was upon its initial publication in 1960, during the turbulent years of the Civil Rights movement. Now, this most beloved and acclaimed novel is reborn for a new age as a gorgeous graphic novel. Scout, Gem, Boo Radley, Atticus Finch, and the small town of Maycomb, Alabama, are all captured in vivid and moving illustrations by artist Fred Fordham. Enduring in vision, Harper Lee’s timeless novel illuminates the complexities of human nature and the depths of the human heart with humor, unwavering honesty, and a tender, nostalgic beauty. Lifetime admirers and new readers alike will be touched by this special visual edition that joins the ranks of the graphic novel adaptations of A Wrinkle in Time and The Alchemist.";15;6.87;1930-10-18;false
To Kill a Mockingbird - The stunning graphic novel adaptation (2018);Harper Lee;Penguin Random House;290;22.11x14.59x1.46 cm;;A beautifully crafted graphic novel adaptation of Harper Lee’s beloved American classic, voted the #1 Great American Read 2018. ‘Shoot all the bluejays you want, if you can hit ‘em, but remember it’s a sin to kill a mockingbird.’ A haunting portrait of race and class, innocence and injustice, hypocrisy and heroism, tradition and transformation in the Deep South of the 1930s, Harper Lee’s To Kill a Mockingbird remains as important today as it was upon its initial publication in 1960, during the turbulent years of the Civil Rights movement. Now, this most beloved and acclaimed novel is reborn for a new age as a gorgeous graphic novel. Scout, Jem, Boo Radley, Atticus Finch and the small town of Maycomb, Alabama, are all captured in vivid and moving illustrations by artist Fred Fordham. Enduring in vision, Harper Lee’s timeless novel illuminates the complexities of human nature and the depths of the human heart with humour, unwavering honesty and a tender, nostalgic beauty. Lifetime admirers and new readers alike will be touched by this special visual edition.;43;6.95;1930-10-18;false
Blue Period 5 (2021);Tsubasa Yamaguchi;Kodansha America LLC;208;24.47x15.26x2.31 cm;Ajani A. Oloye ;SELF-PORTRAIT Yatora makes the best of a bad situation during TUA's first exam, and he must surpass these efforts for the second. But after all he’s gone through, Yatora is feeling a little out of sorts. To get back on track, he’ll have to step out of the studio and into new lighting… With the help of an old friend, Yatora bares his soul and some skin to take on his latest challenge: the nude self-portrait.;39;9.6;1930-11-21;false
The Complete Books of F. Scott Fitzgerald (all his 5 novels + all 4 short story collections published during his lifetime) (2023);F. Scott Fitzgerald;Good Press;2508;24.85x13.72x2.35 cm;;"This carefully crafted ebook: ""The Complete Books of F. Scott Fitzgerald"" is formatted for your eReader with a functional and detailed table of contents. This eBook offers you the unique opportunity of exploring F. Scott Fitzgerald's work in a manner never before possible in digital print. The edition includes every Fitzgerald story collection (published in his lifetime), short story, with poems and non-fiction. Novels: This Side of Paradise (New York: Charles Sons, 1920) The Beautiful and Damned (New York: Scribners, 1922) The Great Gatsby (New York: Scribners, 1925) Tender Is the Night (New York: Scribners, 1934) The Love of the Last Tycoon – originally The Last Tycoon – (New York: Scribners, unfinished, published posthumously, 1941) Short story collections: Flappers and Philosophers (New York: Scribners, 1921) Tales of the Jazz Age (New York: Scribners, 1922) All the Sad Young Men (New York: Scribners, 1926) Taps at Reveille (New York: Scribners, 1935) Francis Scott Key Fitzgerald (1896 – 1940) was an American writer of novels and short stories, whose works have been seen as evocative of the Jazz Age, a term he himself allegedly coined. He is regarded as one of the greatest twentieth century writers. Fitzgerald was of the self-styled ""Lost Generation,"" Americans born in the 1890s who came of age during World War I. He finished four novels, left a fifth unfinished, and wrote dozens of short stories that treat themes of youth, despair, and age. He was married to Zelda Fitzgerald.";25;10.42;1930-12-23;false
The Tales of Beedle the Bard - Illustrated Edition - A Magical Companion to the Harry Potter Stories (2022);J. K. Rowling;Bloomsbury Publishing;0;23.27x14.68x2.39 cm;;A collection of fairy tales for young wizards and witches, with each story followed by observations on Wizarding history, personal reminiscences and information on the story's key elements by Hogwarts headmaster, Albus Dumbledore.;40;6.77;1931-03-22;false
The Caves of Steel (2023);Isaac Asimov;HarperCollins UK;265;22.50x16.83x1.07 cm;;Isaac Asimov’s Robot series – from the iconic collection I, Robot to four classic novels – contains some of the most influential works in the history of science fiction. Establishing and testing the Three Laws of Robotics, they continue to shape the understanding and design of artificial intelligence to this day.;38;6.74;1931-08-23;false
The Naked Sun (2023);Isaac Asimov;HarperCollins UK;257;24.42x16.63x1.57 cm;;Isaac Asimov’s Robot series – from the iconic collection I, Robot to four classic novels – contains some of the most influential works in the history of science fiction. Establishing and testing the Three Laws of Robotics, they continue to shape the understanding and design of artificial intelligence to this day.;41;11.19;1931-08-23;false
The Apothecary Diaries 03 (Light Novel) (2024);Natsu Hyuuga;Square Enix Manga;0;24.44x14.14x1.02 cm;Kevin Steinbach;A palace servant trained in herbal medicine finds herself in the heart of imperial intrigue in this enthralling period mystery! Maomao must help keep Consort Gyokuyou safe during her pregnancy. An imperial consort being with child is supposed to be a matter of the utmost secrecy, but this is the rear palace, where maneuvering and backstabbing are as commonplace as banter and tea parties. Threats seem to lurk around every corner--but it's not just the rear palace keeping busy. Jinshi finds himself struggling to entertain a most unusual request from a pair of visiting ambassadors. Later, he's invited to an important gathering in a faraway place--but who knows what dangers might be waiting for him?;50;11.03;2001-01-24;false
The New Oxford Shakespeare - The Complete Works (2016);William Shakespeare;Oxford University Press;3393;24.88x16.15x2.32 cm;;The Complete Works: Modern Critical Edition is part of the landmark New Oxford Shakespeare--an entirely new consideration of all of Shakespeare's works, edited afresh from all the surviving original versions of his work, and drawing on the latest literary, textual, and theatrical scholarship.This single illustrated volume is expertly edited to frame the surviving original versions of Shakespeare's plays, poems, and early musical scores around the latest literary, textual, and theatrical scholarship to date.;45;11.07;2001-02-16;false
Scholastic Success with Writing Grade 3 (2022);Scholastic;Scholastic Inc.;48;24.35x15.03x1.70 cm;;High-interest topics and engaging exercises designed to stimulate and encourage children as they develop the necessary skills to become independent writers. Includes strategies with grade-appropriate skills that can be used in daily writing assignments such as journals, stories, and letters!;14;11.12;2001-02-22;false
Scholastic Success with Writing Grade 5 (2022);Scholastic;Scholastic Inc.;48;24.94x13.74x1.60 cm;;High-interest topics and engaging exercises designed to stimulate and encourage children as they develop the necessary skills to become independent writers. Includes strategies with grade-appropriate skills that can be used in daily writing assignments such as journals, stories, and letters!;13;10.89;2001-02-22;false
Chainsaw Man, Vol. 9 - Bath (2022);Tatsuki Fujimoto;VIZ Media LLC;193;23.59x16.30x1.85 cm;Amanda Haley;With the climactic battle against the Gun Devil close, Aki may be wavering. Has he found something more important to him than revenge? And what is the true meaning behind the vision shown to him by the Future Devil? -- VIZ Media;50;11.39;2001-02-22;false
Chainsaw Man, Vol. 9 (2022);Tatsuki Fujimoto;VIZ Media LLC;192;23.87x14.68x1.26 cm;Amanda Haley;Broke young man + chainsaw dog demon = Chainsaw Man! Denji was a small-time devil hunter just trying to survive a harsh world. After being killed on a job, Denji is revived by his pet devil-dog Pochita and becomes something new and dangerous—Chainsaw Man! With the battle against the Gun Devil fast approaching, Aki seems to be having a change of heart. Why is he suddenly willing to give up the revenge he’s worked so hard for? And when the Gun Devil finally appears, Denji and allies will face a nightmare of unimaginable pain.;4;6.89;2001-02-22;false
The Apothecary Diaries: Volume 7 (Light Novel) (2023);Natsu Hyuuga;J-Novel Club;243;22.94x15.65x2.20 cm;Kevin Steinbach;Maomao attempts the court service exam once more, winning herself a position as an assistant in one of the medical offices. That’s only the beginning of her troubles, though, as a new consort enters the rear palace and brings new riddles with her. What does a former emissary to the court want with three young medical assistants? How is that connected to a mysterious shrine maiden from Shaoh? And will one particular monocled freak ever just mind his own business?;18;7.25;2001-03-23;false
I, Robot (2018);Isaac Asimov;HarperCollins UK;256;24.31x14.27x1.36 cm;;Earth is ruled by master-machines but the Three Laws of Robotics have been designed to ensure humans maintain the upper hand: 1) A robot may not injure a human being or allow a human being to come to harm 2) A robot must obey orders given to it by human beings except where such orders would conflict with the First Law. 3) A robot must protect its own existence as long as such protection does not conflict with the First or Second Law. But what happens when a rogue robot's idea of what is good for society contravenes the Three Laws?;36;7.7;2001-05-18;false
One Piece, Vol. 86 - Emperor Assassination Plan (2018);Eiichiro Oda;VIZ Media LLC;209;24.13x15.89x1.93 cm;;The full plan to take down Big Mom is finally revealed, but can Luffy’s team actually pull off this tremendous challenge? The Straw Hats will need to work with some allies they don't even trust if they hope to suceed. But first things first: how will they crash the biggest wedding in the pirate world?! -- VIZ Media;19;7.6;2001-05-18;false
Bleak House - With Appreciations and Criticisms By G. K. Chesterton (2020);Charles Dickens;Read Books Ltd;790;22.95x16.76x2.35 cm;;Originally published as a 20-episode serial between March 1852 and September 1853, “Bleak House” is a novel by English author Charles Dickens. The story centres around Esther Summerson, the novel's heroine and omniscient narrator, and a long-running legal case in the Court of Chancery which arises as a result of conflicting wills. Though brimming with arguably exaggerated satire, “Bleak House” helped further a judicial reform movement which led to legal reform in the 1870s. A classic example of Dickens's much-celebrated literature not to be missed by fans and collectors of his timeless work. Charles John Huffam Dickens (1812–1870) was an English writer and social critic famous for having created some of the world's most well-known fictional characters. His works became unprecedentedly popular during his life, and today he is commonly regarded as the greatest Victorian-era novelist. Although perhaps better known for such works as “Oliver Twist” or “A Christmas Carol”, Dickens first gained success with the 1836 serial publication of “The Pickwick Papers”, which turned him almost overnight into an international literary celebrity thanks to his humour, satire, and astute observations concerning society and character. This classic work is being republished now in a new edition complete with an introductory chapter from “Appreciations and Criticisms of the Works of Charles Dickens” by G. K. Chesterton.;1;6.56;2001-05-20;false
